sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
46406,none,1,edge-1,52.842345079999994,-1.35001212,3559.785172621777,3363.358799236715,14153,456.5483870967742,103.38177809784123
46408,none,8,edge-8,45.724,21.276,5196.190677684201,2578.819221872097,2385,76.93548387096774,235.75098885911808
46412,none,9,edge-9,42.012,24.87,5548.153189859212,2222.471524991816,16561,534.2258064516129,98.63011455214817
46448,none,10,edge-10,50.39,30.778,5775.900630723484,3239.381268272349,13824,445.93548387096774,159.47435254673147
46464,none,1,edge-1,48.148,-1.554,3464.8476875675046,2848.7869994084517,16229,523.516129032258,428.0169803391418
46480,none,4,edge-4,42.87473127,12.0415349,4488.284325788416,2198.712941614782,16187,522.1612903225806,274.62578923620305
46506,none,3,edge-3,49.808,9.968,4318.696286363573,2966.1581696587773,3465,111.7741935483871,108.22156142233533
46534,none,2,edge-2,52.008,4.752,3961.0018362023734,3223.858369205612,16484,531.741935483871,84.3877846948844
46583,none,3,edge-3,48.858,8.252,4192.7057380181,2862.047640182693,18659,601.9032258064516,110.72541514617066
46598,none,3,edge-3,48.858,8.252,4192.7057380181,2862.047640182693,5032,162.32258064516128,110.72541514617066
46612,none,2,edge-2,52.49196320000001,6.8663525,4108.226630629101,3269.3235623683795,16535,533.3870967741935,118.63702989524661
46614,none,2,edge-2,50.43,6.805999999999999,4094.120945400561,3040.281664040017,15993,515.9032258064516,151.3761218239151
46622,none,8,edge-8,47.528572,19.269792,5017.421496903655,2756.4696574343575,16605,535.6451612903226,46.53171032318828
46658,none,5,edge-5,52.51005607,13.39791298,4551.607912617625,3272.1403109423295,8622,278.1290322580645,97.99676136401007
46662,none,10,edge-10,50.442694,30.287649,5741.011161906775,3235.3735005509525,16403,529.1290322580645,137.67052495719378
46674,none,8,edge-8,45.91961334,19.768199619999997,5077.26612999532,2583.8196166326147,8064,260.1290322580645,149.10065103625823
46682,none,1,edge-1,53.43,-2.224,3512.86485579093,3437.476586954556,16421,529.7096774193549,162.82794461659088
46690,none,4,edge-4,45.397999999999996,10.874,4389.536705929448,2476.594359225327,936,30.193548387096776,81.3463869904686
